ID,STATE,KEYWORD TYPE,KEYWORD,TITLE,TEXT,DATE,Emotion
51,Kansas,IDENTIFIER-WEATHER-ATTITUDE,"weather, cloudy, love",please send someone pick weather,angry drunk arent prepared tornado hail measured unit fruit sport ball please send someone take home love colorado,2023-06-23,anger
76,Kansas,IDENTIFIER-WEATHER-ATTITUDE,"weather, cloudy, enjoy",everything cheap wichita,im wichita business feel like went back time late 90 everything cheap compared california even restaurant cheap cant even get mediocre sandwich live less 15 see lot town great im confused massive difference cost v california lot house price nice car honestly feel like im time warp different country weather horrific right though would rather pay crazy amount house able enjoy outdoors every day im guessing thats big part,2023-08-25,sadness
102,Kansas,IDENTIFIER-WEATHER-ATTITUDE,"weather, dark, hate",evolution kansa city chief loss,note load fun meme link original post ive kansa city chief fan quite long time child dad watched lot football cant remember favorite team liked team carried state name even wasnt fully invested performance understood meant fan kansa city chief time would learn adult life rooting chief felt like curse might good season never good might make playoff never super bowl even dedicated fan carried knowledge team wasnt quite good enough might excited new player way season going fan heart knew choking chief given critical moment team would find way fail malaise settled every season chief invariably lost playoff point dolphin rout bill bronco colt raven fan might sad certainly werent surprised first moment trouble entire chief kingdom seemingly sighed shrugged knowing resignation immediately losing faith saying aloud thing already knew loser time mattered faced difficulty would always fail losing meant chief fan friend accepted sad realization chief would never win super bowl lifetime still steadfast fan accepted lot life began think book god hate kansa wasnt fiction disposition outlook average chief fan quite different day turn solid coach handful star player really turn thing around team winloss record likelihood success playoff mostly spirit fan base sept 7 reigning super bowl champion chief lost 2120 somewhat improved still perennial punching bag detroit lion unthinkable beating patrick mahomes arrowhead stadium today chief fan however season opening loss wasnt sign whats come portent calamity kansa city fact seems single chief fan lost heart watch reaction unfold online simply bump road team player healthy simple offensive adjustment receiving corp experience onceinanera quarterback team return super bowl glory winner winner dont quit winner dont lose faced difficulty matter winner step challenge whatever must secure victory whether football life change orientation change belief incredible difference history losing winning person spirit psyche always bothered people life seemingly gone mostly pretty well cant see beyond consider life might filled winning everyone see topeka every year people whove never wanted much make disparaging degrading comment people whose life contain experience u could never comprehend bend backwards create way give corporation money call investment similar investment people sneeringly called handout original substack included link example lawmaker help tax dollar also hear people inherited father business never life concern theyd make way life preach pulling bootstrap someone whose brush poverty summarized joke tell poor diet experienced college try explain anothers problem would solved theyd try harder get better job yet shouldnt surprised chief kingdom cant seem remember plight 1980s 90 2000s 2010s day anticipated loss girded even thing looking default position chief fan thing would go wrong wed lose best get hope much year consistent playoff victory two super bowl later weve seemingly forgotten dark year nowadays default position win matter far behind little time left game overcome obstacle expect believe,2023-09-13,surprise
106,Kansas,IDENTIFIER-WEATHER-ATTITUDE,"weather, cloudy, enjoy",day 3 walking across kansa walking across america,sure frequently seemed like last post people interested seeing happening along journey yesterday seemed like great day highlight started day st francis rest day plenty thunder west checked radar thought would miss classic mistake pretty much ran whole way bird city rain point soon got nice stranger named alex saw came hand water bottle pretty much run walking speed fast lol thankful cloud getting little ominous left bird city weather wasnt saying rain kept walking felt raindrop thunder started wasnt really anywhere take shelter ended sprinting dairy farm able shelter rain lightning hail office cleared set thought rain would day wrong took farm road traffic heading mcdonald k checked weather said 30 min thunderstorm started hauled as corn field get mcdonald took shelter grocery store rain done decided pitch tent rest stop 36 maybe wild thing day happened called grandparent st joseph talk completely random matter mention pop pop mcdonald casually mention grandmother family actually helped start town back late 1800s dont think family still town never heard yesterday actually help started family complete coincidence called grandparent exact day learn wild hope enjoyed reading probably make atwood today anyone know anyone could help give holler otherwise best place follow journey great state ig walk2washington,2023-10-04,fear
123,Kansas,IDENTIFIER-WEATHER-ATTITUDE,"weather, cloudy, enjoy",day 46 walking across kansa walking across america,howdy yall ive made mcdonald k prairie dog state park outside norton k definitely covering good distance probably best since weather beginning change morning first around freezing since march boy moving shaking head east south thought id share highlight thought last couple day specific order campground one biggest surprise abundance free public campground along 36 long make town reliable spot sleep case every night far public land much readily available western state traversed tad worried kansa campground blessing im currently prairie dog state park fun fact park prairie dog didnt actually live 1980s even though park started 1967 truck getting walk lot big truck 18 wheeler along journey maybe surprisingly 18 wheeler driver probably courteous kansa especially either slow get complete lane really appreciated think ive probably seen driver multiple time reading thank much corn think lot driver hauling corn seeing everywhere expected see plenty midwest still much one big thing interested learning west water western k imagine lot corn fed ogallala aquifer id also imagine finite water supply isare good journalism resource learn aquifer issue surrounding oberlin really enjoyed aesthetic oberlin brick road covered walkway historic building didnt spend much time cool place check walk around sure county museum atwood able go rawlins county museum every time go town museum always find something interesting example rawlins county home guy popularized smokey bear apparently smokey bear longest running psa american history additionally real life smokey bear rescued fire new mexico brought national zoo dc great time talking lynette oversaw museum dont sleep little inconspicuous museum always learn something burr sticker thorn wish known coming k done number tire able get slime oberlin looking forward day arent problem anyone know stop issue east tanner dad lastly 30 mile day oberlin man pull car little bit front go trunk get something approach car man carrying two water bottle offer get chatting tell tanner dad sweet guy first day k believe lacys absolutely sweetest family around need drywall work done nw k one id recommend highly probably run long hope yall enjoyed definitely better anything say place ive really enjoyed time k far met many friendly people already looking forward much always best place follow journey great state ig walk2washington,2023-10-07,fear
132,Kansas,IDENTIFIER-WEATHER-ATTITUDE,"weather, cloudy, love",day 710 walking across kansa walking across america,howdy yall last post leaving prairie dog state park outside norton k smith center k near geographic center united state feeling bit weather recently sure taking nyquil dayquil feeling bit better decided take rest day today smith center got motel last tonight tonight usually dont use hotel unless make sense got 2 night 19 total definitely make sense still meeting lot friendly folk kansa thought id share takeaway past couple day particular order significance ive really enjoyed library kansa earlier walk using library lot frequently charge battery pack use computer however lot library small town west reliable best hour typing library smith center thankful library gotten use kansa plenty friendly helpful librarian cant stress awesome important library many others dont forget use support local branch barn quilt thank reached helped explain barn quilt seeing number unsure really enjoying seeing livening town space everywhere go funny enough dont think seen one barn yet town along 36 pretty similar dont mean deriding way every town charm character feel though guess town getting town makeup town pretty similar town county seat along part 36 run town probably caseys subway pizza hut dollar general couple gas station mechanic maybe tractor supply company something similar main street run northsouth little way 36 little lively others plenty church local grocer county museum mexican restaurant county courthouse library city park typical town component frustration city design 36 turn two lane highway shoulder 4 lane road without shoulder sidewalk enter town im usually able get onto connecting side street dealing hefty traffic pickup truck dangerous 18 wheeler also please put phone driving lot people warning harvest need watch 18 wheeler seeing 18 wheeler since getting kansa try remind people pickup truck much scarier pickup truck 18 wheeler happens hit something think constantly going flattened difference never see 18 wheeler phone fact 18 wheeler often get entire lane slow possible give wave whereas tell someone phone based way driving much sooner see phone yesterday multiple close call people phone understand nice responsible driver operate pickup truck overwhelming majority close call involve oversized pickup truck people need understand driving 65 mile hour huge hunk metal operating potential weapon sad reality anyone elses finger wagging going stop people using phone driving long cell phone play huge role people life always crash stemming distracted driving auto manufacturer wanted engineer way would make impossible operate car unless relinquished use phone duration drive certainly could lifespan car cell phone issue people still got needed still listened music profit making reality dont make dollar dont make sense something incredibly passionate life line everyday life isnt line us36 also line city around 83 american live also quarter american cant drive whether young old disabled whatever reason additionally also people outside car distracted driver injure kill driver issue like distracted driving,2023-10-10,joy
150,Kansas,IDENTIFIER-WEATHER-ATTITUDE,"weather, cloudy, love",day 1113 walking across kansa walking across america,howdy yall currently writing wonderful town washington k able make 3 day smith center took rest day get little illness felt much better taking day recover day left smith center didnt get great start locked hotel room order go stretch innkeeper buckshot inn nebraska getting chemo wasnt way get back told try pick lock much easier said done caseys gift card eventually guy called came come replace lock ever smith center please go visit buckshot inn people really nice gave 2 night 19 im sure would appreciate business delay headed mankato along way got pas geographic center u pretty neat kansa really center country least lower 48 eventually made mankato im sure familiar mankato youtube channel yes theory threw party boring town america kind funny didnt know yes theory got mankato nice town though thursday goal get belleville easier said done headwind passed scandia cloud started look ominous looking way get 36 storm rolled soon got started raining quickly made way barn took shelter farmer john dog mav nice time talking farmer john harvest much farm equipment cost rain set mav really wanted come walking across kansa farmer john come get couple time also warned mud thought could push couldnt trudge way back 36 got back made way belleville finally yesterday goal get washington place really looking forward goal walk get washington state washington dc fun stop washington middle hefty tail wind able 33 mile 5 hour ancient midwestern proverb wouldnt coldbad without wind full effect today even heard people say belleville instead pitching tent campground decided pitch tent warm spacious shower room campground bad sound unfortunately forgot lock door last night around 1130 last night guy come take shower scared bejezzes water heater broke nice guy terrible definitely locked door plan today get marysville looking like ill probably able finish kansa october 18th sorry people wanted come manhattan lawrence topeka got ta make st joe see grandparent cant delay weather getting colder people said could walk across 36 st joseph reached police department said could would even help cross thatll save time im still enjoying time kansa meeting lot great people always best place follow journey ig walk2washington website name additional thought 1 lot tree definitely noticed decent amount tree ive gotten farther east appreciated im enjoying seeing tinge yellow 2 town play music idk kansa thing didnt happen state ive walked lot town play music loud downtown bad kinda eerie downtown empty 3 windmill didnt see wind farm got belleville windy state really expected especially since land still used farming ranching 4 breakfast,2023-10-14,surprise
204,Kansas,IDENTIFIER-WEATHER-ATTITUDE,"weather, cloudy, love",looking evergy user lost power july january,hello everyone hope allowed im journalist kansa news service kcur public radio im looking people interview story losing power severe weather july january know lost power day july massive wind storm knocked tree anyone lost power also lose power january anyone willing share experience radio news story would love hear message send email dlysenkcurorgmailtodlysenkcurorg thanks x200b,2024-01-22,surprise
282,Kansas,IDENTIFIER-WEATHER-ATTITUDE,"weather, clouds, love",topeka nighttime airshow,wish photo working army blackhawks answering question people there show topeka weekend 50 gate lost mind heard saw thunderbird night show wouldnt felt bad paying 50 show said intercom trying make regular event forbes field want become premier nighttime airshow insane flying close formation night nothing position light reference aircraft show spectacular dont whole lot information dad said fundraiser combat air museum thunderbird top list used blue angel anything like today show start 3 end 8830 weather great today cloud sight bit warm better cold rumored someone donated 500000 gallon jet fuel blew tonight 14 mile blast could see top hangar amazing firework show would rival typical independence day show addition daytime nighttime show dont want oversell im saying exciting got free army might bit dont believe nighttime show sunday im certain,2024-10-12,surprise
290,Kentucky,IDENTIFIER-WEATHER-ATTITUDE,"weather, dark, love",screenwriter looking directorproducercamera,hey sure right sub please direct ive audio production ky last 4 year recently switched video purchased fancy new camera equipment practicingeditingmaking music video people wanting make short film shoestring budget looking writer maybe similar situation enjoys passion project learning process first time attempting already muscularfit male lead ill want playing main character im lexington surrounding area might shot dark another thing would open love director would willing take wing shoot show rope,2023-01-21,neutral
294,Kentucky,IDENTIFIER-WEATHER-ATTITUDE,"weather, clouds, enjoy",hey yall maker mark today waiting tour kentucky shaped cloud floated thought yall might enjoy,please delete allowed cheer,2023-04-14,neutral
296,Kentucky,IDENTIFIER-WEATHER-ATTITUDE,"weather, dark, enjoy",got question,let start saying trying stir anything would much enjoy nice conversation honestly truly believe beshear win reelection know bevin completely batshit crazy yet beshear barely edged think come cameron dont see winning reelection like said asking try instigate anything looking argument honestly believe cant figure way able communicate nation could end going dark path winner,2023-05-04,surprise
298,Kentucky,IDENTIFIER-WEATHER-ATTITUDE,"weather, cloudy, happy",severe storm possible next three day,happy thursday everyone eye severe storm threat next three day round shower storm look ride along edge building ridge morning complex strong severe storm pushing across part western kentucky damaging wind main threat thus far later evening another round storm look roll across state location round still question latest hire model showing cluster place newest hrrr run show impacting central eastern kentucky weakening push state definitely something watch region round strong severe storm look possible friday saturday focus round shift northeast round far today mcss timing location severity still question uncertainty high difficulty forecasting mesoscale convective system mcss riding along edge ridge,2023-06-29,fear
307,Kentucky,IDENTIFIER-WEATHER-ATTITUDE,"weather, cloudy, happy",severe storm look likely today,happy sunday everyone strong severe storm possible today look get break tomorrow storm prediction center upgraded state enhanced risk 35 latest outlook shower storm moved across state early morning clearing taking place allow destabilization help storm form later afternoon evening damaging wind main threat make sure visit ekyrrgweathercom,2023-07-02,joy
316,Kentucky,IDENTIFIER-WEATHER-ATTITUDE,"weather, cloudy, love",lexington,hey everyone wife debating moving lexington area early 2024 work healthcare currently live maryland visited louisville time bourbon trail day time guy give pro con living lexington coming lex october see enjoy city advice would great,2023-07-04,joy
