Region,State,Weather,Total Counts,Positive Counts,Neutral Counts,Negative Counts,Positive (%),Neutral (%),Negative (%),Average Compound,Overall Sentiment (by Compound),Most Frequent Sentiment (by %),Dominance Strength (%)
Cold Region,Alaska,Cloudy,63,48,11,4,76.19,17.46,6.35,0.7,Positive,Positive,58.73
Cold Region,North Dakota,Cloudy,10,4,5,1,40.0,50.0,10.0,0.27,Neutral,Neutral,10.0
Cold Region,Alaska,Rainy,78,59,17,2,75.64,21.79,2.56,0.72,Positive,Positive,53.85
Cold Region,North Dakota,Rainy,12,5,6,1,41.67,50.0,8.33,0.31,Neutral,Neutral,8.33
Cold Region,Alaska,Snowy,99,75,20,4,75.76,20.2,4.04,0.7,Positive,Positive,55.56
Cold Region,North Dakota,Snowy,15,9,6,0,60.0,40.0,0.0,0.51,Positive,Positive,20.0
Cold Region,Alaska,Sunny,155,124,25,6,80.0,16.13,3.87,0.72,Positive,Positive,63.87
Cold Region,North Dakota,Sunny,19,12,7,0,63.16,36.84,0.0,0.64,Positive,Positive,26.32
Hot Region,Florida,Cloudy,126,89,29,8,70.63,23.02,6.35,0.6,Positive,Positive,47.62
Hot Region,Hawaii,Cloudy,30,20,7,3,66.67,23.33,10.0,0.49,Neutral,Positive,43.33
Hot Region,Florida,Rainy,217,135,62,20,62.21,28.57,9.22,0.49,Neutral,Positive,33.64
Hot Region,Hawaii,Rainy,45,19,13,13,42.22,28.89,28.89,0.13,Neutral,Positive,13.33
Hot Region,Florida,Snowy,101,76,18,7,75.25,17.82,6.93,0.63,Positive,Positive,57.43
Hot Region,Hawaii,Snowy,19,13,4,2,68.42,21.05,10.53,0.54,Positive,Positive,47.37
Hot Region,Florida,Sunny,318,217,77,24,68.24,24.21,7.55,0.57,Positive,Positive,44.03
Hot Region,Hawaii,Sunny,60,45,10,5,75.0,16.67,8.33,0.6,Positive,Positive,58.33
Temperate Region,Kentucky,Cloudy,11,8,2,1,72.73,18.18,9.09,0.58,Positive,Positive,54.55
Temperate Region,Kansas,Cloudy,9,7,2,0,77.78,22.22,0.0,0.77,Positive,Positive,55.56
Temperate Region,Kentucky,Rainy,23,10,6,7,43.48,26.09,30.43,0.15,Neutral,Positive,13.04
Temperate Region,Kansas,Rainy,15,9,5,1,60.0,33.33,6.67,0.58,Positive,Positive,26.67
Temperate Region,Kentucky,Snowy,11,6,1,4,54.55,9.09,36.36,0.24,Neutral,Positive,18.18
Temperate Region,Kansas,Snowy,13,7,4,2,53.85,30.77,15.38,0.44,Neutral,Positive,23.08
Temperate Region,Kentucky,Sunny,30,23,4,3,76.67,13.33,10.0,0.64,Positive,Positive,63.33
Temperate Region,Kansas,Sunny,37,28,9,0,75.68,24.32,0.0,0.72,Positive,Positive,51.35
