Region,Weather,Emotion,Count
cold,rainy,joy,28
cold,rainy,sadness,25
cold,rainy,fear,14
cold,rainy,surprise,13
cold,rainy,anger,6
cold,rainy,neutral,4
cold,snowy,joy,32
cold,snowy,sadness,32
cold,snowy,surprise,25
cold,snowy,fear,15
cold,snowy,anger,5
cold,snowy,neutral,5
cold,cloudy,sadness,22
cold,cloudy,joy,21
cold,cloudy,surprise,12
cold,cloudy,fear,10
cold,cloudy,anger,5
cold,cloudy,neutral,3
cold,sunny,joy,60
cold,sunny,sadness,43
cold,sunny,surprise,33
cold,sunny,neutral,15
cold,sunny,fear,13
cold,sunny,anger,10
temperate,sunny,joy,34
temperate,sunny,surprise,11
temperate,sunny,sadness,10
temperate,sunny,fear,7
temperate,sunny,neutral,4
temperate,sunny,anger,1
temperate,snowy,joy,7
temperate,snowy,fear,6
temperate,snowy,surprise,4
temperate,snowy,sadness,3
temperate,snowy,neutral,2
temperate,snowy,anger,1
temperate,snowy,disgust,1
temperate,rainy,fear,14
temperate,rainy,joy,9
temperate,rainy,surprise,6
temperate,rainy,neutral,4
temperate,rainy,sadness,4
temperate,rainy,anger,1
temperate,cloudy,joy,7
temperate,cloudy,surprise,5
temperate,cloudy,fear,3
temperate,cloudy,neutral,3
temperate,cloudy,anger,1
temperate,cloudy,sadness,1
hot,rainy,joy,77
hot,rainy,surprise,47
hot,rainy,sadness,46
hot,rainy,fear,38
hot,rainy,neutral,35
hot,rainy,anger,19
hot,snowy,joy,47
hot,snowy,surprise,21
hot,snowy,sadness,20
hot,snowy,anger,15
hot,snowy,fear,13
hot,snowy,neutral,4
hot,cloudy,joy,52
hot,cloudy,surprise,29
hot,cloudy,sadness,28
hot,cloudy,fear,20
hot,cloudy,anger,14
hot,cloudy,neutral,13
hot,sunny,joy,139
hot,sunny,surprise,72
hot,sunny,sadness,66
hot,sunny,fear,41
hot,sunny,neutral,31
hot,sunny,anger,29
emotion,summary.csv,joy,12
emotion,summary.csv,sadness,12
emotion,summary.csv,fear,12
emotion,summary.csv,surprise,12
emotion,summary.csv,anger,12
emotion,summary.csv,neutral,12
emotion,summary.csv,disgust,1
